id,best,avg,entryyear,modul,weighted ,degree,between,pagerank,cluster
48999,61,79.2,2008,4,3.8712010109,5,144.0103885348,0.0015801175,0.5
49794,27,48.6,2006,4,21.306369554,16,826.1244711015,0.0036878789,0.1916666667
4980,38,72.25,1997,0,16.9245715168,16,1345.061815937,0.0036681809,0.225
498826,74,74,2006,0,0,0,0,0.0003438001,0
4989383,72,72,2018,0,0,0,0,0.0003438001,0
50179,51,58,2005,0,7.3901814282,6,471.0581052053,0.001708525,0.1333333333
504950,90,90,2013,4,33.4979375133,19,1121.5737515491,0.004202386,0.2748538012
50669,46,61.4,2001,0,1.6094379124,1,0,0.0005639065,0
509192,24,47.6,2010,4,14.4016959415,11,327.2344439922,0.0025509015,0.2727272727
509534,81,86,2017,3,3.4657359028,5,90.7392126642,0.0013977148,0.1
51454,60,63,2017,0,0,0,0,0.0003438001,0
51519,18,49.142857,2005,7,13.9649782899,11,1717.6229135187,0.003806676,0.1090909091
51567,17,54.333332,2010,2,13.1848197324,7,367.2721973927,0.001873887,0.2380952381
5160,36,58,1998,1,0.6931471806,1,0,0.0006464256,0
52549,51,51,1997,0,0,0,0,0.0003438001,0
52687,48,62.375,2001,7,10.9047074952,7,283.5863173618,0.0020053161,0.2380952381
528881,50,70,2011,0,0,0,0,0.0003438001,0
529700,76,80.333336,2008,0,0,0,0,0.0003438001,0
5309,87,87,1999,0,24.3775399332,17,554.0665362092,0.0036692035,0.3529411765
532,62,65,1998,0,0.6931471806,1,0,0.000541361,0
53329,91,91,1998,0,0,0,0,0.0003438001,0
535408,32,52.25,2011,7,1.0986122887,1,0,0.0006381183,0
536839,77,82,2009,7,1.0986122887,1,0,0.0006381183,0
5394,8,30.357143,2004,0,1.6094379124,1,0,0.0005735961,0
5439674,68,76,2017,0,0,0,0,0.0003438001,0
5470,59,78.333336,1998,1,9.6883121709,9,523.3436570803,0.0025071263,0.3333333333
5482,51,51,1999,0,6.9314718056,7,36.396420522,0.0016737274,0.4761904762
5485,14,32.92857,1998,0,12.1368511765,12,751.169007415,0.0026879798,0.1515151515
5498,80,87,2002,0,9.1286963829,10,1122.0722501157,0.0023795651,0.2222222222
550090,40,62.25,2010,2,32.7529109291,11,252.4716774464,0.0024636041,0.7454545455
5511,60,60,2004,0,3.8712010109,4,9.2220706219,0.0010922826,0.3333333333
5513,52,68.5,2002,0,10.4504522229,9,322.9564393778,0.0023138376,0.1944444444
5517500,33,46,2015,0,0,0,0,0.0003438001,0
5531,5,8.5,1997,0,19.4456172132,15,652.8432399627,0.0035703484,0.219047619
5539,94,94,1998,0,2.7725887222,4,12.5790073605,0.0011949387,0.3333333333
5593,76,81,2004,4,3.4657359028,3,13.7681696427,0.0009915833,0.3333333333
5595,79,90,2006,0,21.2418310328,16,1391.2027423583,0.0037539889,0.0666666667
57210,68,80.5,2006,0,0,0,0,0.0003438001,0
572782,85,91,2009,7,4.5951198501,2,0,0.0008716438,1
5758,37,37,1997,0,12.9998973939,14,525.7925213656,0.0032553634,0.3296703297
5762,3,18.066668,1997,0,25.1620508054,15,980.659562718,0.0035014147,0.1619047619
5775,8,34.88889,2000,0,28.6946974135,20,2086.2694665877,0.0047346016,0.1052631579
5797,9,33,2003,0,12.7328346086,9,239.3900149964,0.0022890652,0.25
